01,01,44.4,0,0.57
01,02,44.39,0,0.43
01,03,47.8,0,0.44
01,04,35.83,0,0.4
01,05,27.33,0,0.35
01,06,34.72,0,0.32
01,07,39.56,0,0.82
01,08,41.55,0,0.95
01,09,46.13,0,0.93
01,10,60.1,0,0.68
01,11,36.01,0,0.31
01,12,41.3,0,0.38
01,13,27.05,0,0.33
01,14,43.4,0,0.4
01,15,47.73,0,0.53
01,16,46.64,0,0.82
01,17,33.63,0,0.86
01,18,22.77,0,0.39
01,19,22.59,0,0.37
01,20,27.4,0,0.43
01,21,30.5,0,0.55
01,22,28.56,0,0.54
01,23,27.37,0.0049,0.86
01,24,30.21,0,0.44
01,25,35.72,0,0.51
01,26,46,0.0021,0.51
01,27,41.15,0,0.49
01,28,37.57,0,0.55
02,01,56.71,0,0.62
02,02,47.37,0,0.54
02,03,48.73,0.004,0.93
02,04,48.07,0,0.57
02,05,40.31,0,0.55
02,06,39.48,0,0.47
02,07,43.62,0,0.45
02,08,43.73,0,0.54
02,09,35.99,0.0095,0.92
02,10,35.28,0,0.46
02,11,26.08,0,0.33
02,12,26.83,0,0.39
02,13,21.09,0,0.33
02,14,20.55,0,0.35
02,15,25.86,0.0119,0.89
02,16,45.97,0.0258,0.96
02,17,44.57,0,0.53
02,18,36.61,0,0.35
02,19,33.62,0,0.44
02,20,52.23,0,0.48
02,21,53.54,0.0081,0.8
02,22,48.02,0,0.55
02,23,42.65,0.0187,0.94
02,24,52.35,0.0181,0.97
02,25,46.59,0,0.47
02,26,37.68,0.0048,0.4
02,27,40.49,0,0.38
02,28,55.24,0,0.37
03,01,61.51,0,0.3
03,02,38.87,0,0.38
03,03,36.5,0,0.43
03,04,37.73,0,0.75
03,05,39.46,0,0.49
03,06,44.74,0,0.64
03,07,53.24,0,0.53
03,08,69.56,0,0.3
03,09,68.55,0,0.36
03,10,69.68,0,0.51
03,11,66.79,0,0.52
03,12,55.06,0,0.59
03,13,57.36,0,0.7
03,14,50.77,0,0.93
03,15,50.71,0,0.82
03,16,65.96,0,0.62
03,17,65.25,0,0.31
03,18,60.57,0,0.27
03,19,42.73,0.0103,0.69
03,20,42.49,0,0.6
03,21,45.85,0,0.32
03,22,51.4,0,0.4
03,23,61.57,0,0.37
03,24,66.41,0,0.38
03,25,64.64,0.0215,0.73
03,26,48.49,0,0.5
03,27,53.14,0,0.76
03,28,62.23,0,0.67
04,01,69.39,0,0.72
04,02,52.87,0.0072,0.74
04,03,42.43,0,0.31
04,04,67.13,0,0.3
04,05,38.26,0,0.35
04,06,47.88,0,0.37
04,07,54.02,0.0113,0.79
04,08,46.51,0,0.45
04,09,39.62,0.017,0.76
04,10,40.59,0,0.39
04,11,58.43,0,0.47
04,12,56.72,0,0.6
04,13,50.72,0,0.4
04,14,56.69,0,0.38
04,15,56.76,0,0.41
04,16,64.11,0,0.34
04,17,60.67,0,0.37
04,18,75.9,0,0.27
04,19,79.68,0,0.26
04,20,62.82,0,0.26
04,21,61.59,0,0.48
04,22,72.52,0,0.58
04,23,61.03,0.0247,0.87
04,24,58.8,0,0.24
04,25,66.9,0,0.55
04,26,78.52,0,0.42
04,27,54.27,0.0016,0.85
04,28,52.71,0.1125,0.89
05,01,54.69,0.0549,0.93
05,02,62.1,0,0.89
05,03,66.64,0,0.78
05,04,55.99,0,0.86
05,05,51.79,0.0016,0.87
05,06,53.49,0.0573,0.89
05,07,57.55,0.0018,0.7
05,08,67.22,0,0.33
05,09,56.69,0.0173,0.78
05,10,59.28,0,0.65
05,11,56.4,0.0065,0.91
05,12,61.58,0,0.87
05,13,64.85,0.0117,0.95
05,14,70.35,0,0.48
05,15,55.57,0,0.34
05,16,57.15,0,0.33
05,17,54.68,0.0447,0.86
05,18,59.94,0,0.63
05,19,63.45,0,0.58
05,20,71.18,0,0.39
05,21,56.12,0.0106,0.85
05,22,55.06,0.0088,0.91
05,23,68.43,0,0.63
05,24,75.95,0,0.45
05,25,81.08,0,0.34
05,26,79.17,0,0.52
05,27,81.53,0,0.61
05,28,79.97,0,0.62
06,01,83.43,0,0.54
06,02,73.43,0,0.75
06,03,76.09,0,0.82
06,04,77.44,0,0.74
06,05,76.95,0,0.8
06,06,81.87,0,0.45
06,07,82.43,0,0.51
06,08,67.17,0,0.49
06,09,73.96,0,0.37
06,10,74.18,0,0.36
06,11,81.81,0,0.59
