HexagonNumber,HexandMonth,Month,Under20,20to29,30to39,40to49,50to59,60to69,70andabove,TotalNarcan,NarcanAdministered,Male,Female,MPDCalls,FEMSCalls,MedicalCalls,MiscCals,OverdoseCalls,PropertyCalls,QOLCalls,TrafficCalls,ViolentCalls,AverageTemperature,AverageHumidity,AveragePrecipitation,Unemployment
4,4-9,9,0,0,0,0,0,0,0,0,0,0,0,193,78,75,42,2,30,122,76,55,37.4075,0.541428571,0.00025,0.328
4,4-10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.4075,0.541428571,0.00025,0
4,4-11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.4075,0.541428571,0.00025,0
4,4-12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.4075,0.541428571,0.00025,0.009
5,5-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.4075,0.541428571,0.00025,0.009
5,5-2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.4075,0.541428571,0.00025,0.009
5,5-3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.4075,0.541428571,0.00025,0.009
5,5-4,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,37.4075,0.541428571,0.00025,0.1275
5,5-5,5,0,0,0,0,0,0,0,0,0,0,0,44,12,14,7,1,11,23,15,7,37.4075,0.541428571,0.00025,0.246
5,5-6,6,0,0,0,0,0,0,0,0,0,0,0,333,76,94,69,2,27,217,91,51,37.4075,0.541428571,0.00025,0.269666667
5,5-7,7,0,0,0,0,0,0,0,0,0,0,0,128,43,48,20,1,19,83,24,13,37.4075,0.541428571,0.00025,0.312
5,5-8,8,0,0,0,0,0,0,0,0,0,0,0,93,29,33,18,2,8,61,25,20,37.4075,0.541428571,0.00025,0.3145
5,5-9,9,0,0,0,0,0,0,0,0,0,0,0,216,73,83,42,2,29,133,71,48,37.4075,0.541428571,0.00025,0.32425
5,5-10,10,0,0,0,0,0,0,0,0,0,0,0,107,31,33,19,1,11,74,47,19,37.4075,0.541428571,0.00025,0.2675
5,5-11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.4075,0.541428571,0.00025,0.009
5,5-12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.4075,0.541428571,0.00025,0.009
6,6-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.4075,0.541428571,0.00025,0.009
6,6-2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.4075,0.541428571,0.00025,0.009
6,6-3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.4075,0.541428571,0.00025,0.009
6,6-4,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,37.4075,0.541428571,0.00025,0.009
6,6-5,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,2,1,0,37.4075,0.541428571,0.00025,0.1275
6,6-6,6,0,0,0,0,0,0,0,0,0,0,0,123,27,26,37,0,9,78,46,30,37.4075,0.541428571,0.00025,0.17825
6,6-7,7,0,0,0,0,0,0,0,0,0,0,0,73,29,27,14,1,12,48,25,13,37.4075,0.541428571,0.00025,0.294333333
6,6-8,8,0,0,0,0,0,0,0,0,0,0,0,91,34,34,26,0,6,59,25,14,37.4075,0.541428571,0.00025,0.28125
6,6-9,9,0,0,0,0,0,0,0,0,0,0,0,142,69,83,39,4,16,69,37,15,37.4075,0.541428571,0.00025,0.3065
6,6-10,10,0,0,0,0,0,0,0,0,0,0,0,230,32,137,32,0,13,80,66,49,37.4075,0.541428571,0.00025,0.2675
6,6-11,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,37.4075,0.541428571,0.00025,0.235
6,6-12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.4075,0.541428571,0.00025,0
7,7-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.4075,0.541428571,0.00025,0.009
7,7-2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.4075,0.541428571,0.00025,0.009
7,7-3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.4075,0.541428571,0.00025,0.009
7,7-4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.4075,0.541428571,0.00025,0.009
