HexagonNumber,HexandMonth,Month,Under20,20to29,30to39,40to49,50to59,60to69,70andabove,TotalNarcan,NarcanAdministered,Male,Female,MPDCalls,FEMSCalls,MedicalCalls,MiscCals,OverdoseCalls,PropertyCalls,QOLCalls,TrafficCalls,ViolentCalls,AverageTemperature,AverageHumidity,AveragePrecipitation,Unemployment
160,160-1,1,0,0,0,0,0,0,0,0,0,0,0,468,109,142,101,2,66,266,127,45,54.68785714,0.531071429,0.001135714,0.122571429
162,162-1,1,0,0,0,0,0,0,0,0,0,0,0,109,12,11,15,0,13,82,63,2,54.68785714,0.531071429,0.001135714,0.043
163,163-1,1,0,0,0,0,0,0,0,0,0,0,0,244,50,47,34,3,46,164,109,22,54.68785714,0.531071429,0.001135714,0.07
164,164-1,1,0,0,0,0,1,0,0,1,1,1,0,1,1,1,0,0,0,1,1,0,54.68785714,0.531071429,0.001135714,0.1655
165,165-1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,54.68785714,0.531071429,0.001135714,0.053
166,166-1,1,0,0,1,0,1,0,0,2,1,1,1,292,101,132,50,4,41,166,98,38,54.68785714,0.531071429,0.001135714,0.068
173,173-1,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,2,1,1,54.68785714,0.531071429,0.001135714,0.051
174,174-1,1,0,0,0,0,0,0,0,0,0,0,0,168,49,59,25,1,32,100,63,21,54.68785714,0.531071429,0.001135714,0.1035
175,175-1,1,0,0,0,0,0,0,0,0,0,0,0,65,9,8,15,1,13,37,28,4,54.68785714,0.531071429,0.001135714,0.152
178,178-1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,54.68785714,0.531071429,0.001135714,0.02
179,179-1,1,0,0,0,0,0,0,0,0,0,0,0,52,11,12,12,0,20,19,9,0,54.68785714,0.531071429,0.001135714,0.033
180,180-1,1,0,0,1,0,1,1,0,3,1,2,1,67,25,39,10,0,12,31,27,11,54.68785714,0.531071429,0.001135714,0.14425
181,181-1,1,0,0,0,0,0,1,0,1,1,1,0,2,0,0,0,0,1,1,0,0,54.68785714,0.531071429,0.001135714,0.0365
183,183-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.68785714,0.531071429,0.001135714,0.096
186,186-1,1,0,0,0,0,0,0,0,0,0,0,0,51,14,15,16,0,8,26,17,3,54.68785714,0.531071429,0.001135714,0.028666667
187,187-1,1,0,0,0,0,1,0,0,1,1,0,1,13,2,1,2,0,1,11,7,4,54.68785714,0.531071429,0.001135714,0.091
188,188-1,1,0,0,0,0,0,0,0,0,0,0,0,52,5,5,9,0,18,25,16,2,54.68785714,0.531071429,0.001135714,0.025
197,197-1,1,0,0,0,1,2,2,0,5,1,3,2,9,4,7,0,0,2,4,1,0,54.68785714,0.531071429,0.001135714,0.085
201,201-1,1,0,0,0,0,0,0,0,0,0,0,0,5,2,1,0,1,1,4,4,1,58.12642857,0.493571429,0.006225,0.1275
204,204-1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,1,1,0,58.12642857,0.493571429,0.006225,0.14
205,205-1,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,58.12642857,0.493571429,0.006225,0.009
206,206-1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,1,1,1,0,58.12642857,0.493571429,0.006225,0.087
207,207-1,1,0,0,0,0,0,0,0,0,0,0,0,244,68,73,55,8,13,163,68,41,58.12642857,0.493571429,0.006225,0.189666667
212,212-1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,58.12642857,0.493571429,0.006225,0.1405
220,220-1,1,0,0,0,0,0,0,0,0,0,0,0,6,1,0,1,0,0,6,6,0,58.12642857,0.493571429,0.006225,0
221,221-1,1,0,0,0,0,0,0,0,0,0,0,0,73,17,24,14,0,14,38,12,5,58.12642857,0.493571429,0.006225,0.066
222,222-1,1,0,0,1,0,0,0,0,1,1,1,0,135,56,59,30,1,20,81,44,26,58.12642857,0.493571429,0.006225,0.1912
225,225-1,1,0,0,0,0,0,0,0,0,0,0,0,80,16,18,18,1,7,52,37,3,58.12642857,0.493571429,0.006225,0.038333333
227,227-1,1,0,0,0,0,0,0,0,0,0,0,0,11,1,1,1,0,1,9,7,0,58.12642857,0.493571429,0.006225,0.043
228,228-1,1,0,0,0,0,0,0,0,0,0,0,0,195,51,62,43,0,40,101,62,8,58.12642857,0.493571429,0.006225,0.0605
231,231-1,1,0,0,0,0,0,0,0,0,0,0,0,103,32,29,26,0,13,67,48,10,58.12642857,0.493571429,0.006225,0.031333333
235,235-1,1,0,0,0,0,0,0,0,0,0,0,0,317,26,49,225,2,14,53,39,3,58.12642857,0.493571429,0.006225,0.1845
236,236-1,1,0,0,0,0,0,0,0,0,0,0,0,12,1,1,3,0,4,5,3,0,58.12642857,0.493571429,0.006225,0.04125
246,246-1,1,0,0,0,0,0,0,0,0,0,0,0,53,14,19,11,0,11,26,17,2,58.12642857,0.493571429,0.006225,0.1675
247,247-1,1,0,0,0,0,0,0,0,0,0,0,0,25,3,1,3,0,15,9,5,0,58.12642857,0.493571429,0.006225,0.04
249,249-1,1,0,0,0,0,0,0,0,0,0,0,0,15,6,5,2,0,2,12,9,0,58.12642857,0.493571429,0.006225,0.0595
251,251-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.12642857,0.493571429,0.006225,0.096
252,252-1,1,0,0,0,0,0,0,0,0,0,0,0,8,3,5,1,0,1,4,3,1,58.12642857,0.493571429,0.006225,0.091
253,253-1,1,0,0,0,0,0,0,0,0,0,0,0,11,0,0,3,0,4,4,2,0,58.12642857,0.493571429,0.006225,0.023
254,254-1,1,0,0,0,0,0,0,0,0,0,0,0,169,45,61,38,0,25,90,34,15,58.12642857,0.493571429,0.006225,0.115666667
255,255-1,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,58.12642857,0.493571429,0.006225,0.071
259,259-1,1,0,0,0,0,1,0,0,1,1,0,1,111,21,26,33,0,25,48,16,6,58.12642857,0.493571429,0.006225,0.084
260,260-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.12642857,0.493571429,0.006225,0
261,261-1,1,0,0,0,0,1,0,0,1,1,1,0,7,1,2,0,0,1,5,5,0,58.12642857,0.493571429,0.006225,0.125
262,262-1,1,0,0,0,0,0,0,0,0,0,0,0,71,19,20,12,0,11,47,31,6,58.12642857,0.493571429,0.006225,0.125
264,264-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.49642857,0.676785714,0.007685714,0.274
274,274-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.49642857,0.676785714,0.007685714,0
275,275-1,1,0,0,0,0,0,0,0,0,0,0,0,49,9,11,10,0,4,33,22,10,63.49642857,0.676785714,0.007685714,0.202
277,277-1,1,0,0,0,0,0,0,0,0,0,0,0,167,30,33,30,1,39,94,40,8,63.49642857,0.676785714,0.007685714,0.112
280,280-1,1,0,0,0,0,0,0,0,0,0,0,0,122,22,18,14,2,3,107,97,4,63.49642857,0.676785714,0.007685714,0.2775
282,282-1,1,0,0,0,0,0,1,0,1,1,1,0,156,30,44,32,1,25,84,51,18,63.49642857,0.676785714,0.007685714,0.041666667
284,284-1,1,0,0,0,0,0,1,0,1,1,1,0,64,6,14,21,0,15,20,13,2,63.49642857,0.676785714,0.007685714,0.0325
291,291-1,1,0,0,1,0,0,0,0,1,1,0,1,272,80,94,55,1,44,158,85,26,63.49642857,0.676785714,0.007685714,0.0494
292,292-1,1,0,0,0,0,1,0,0,1,1,0,1,29,4,6,12,0,0,15,11,2,63.49642857,0.676785714,0.007685714,0.158
293,293-1,1,1,0,0,0,0,0,0,1,1,0,0,19,1,2,0,0,6,12,11,0,63.49642857,0.676785714,0.007685714,0.043
294,294-1,1,0,0,0,1,1,0,0,2,1,2,0,324,123,124,61,1,49,212,110,25,63.49642857,0.676785714,0.007685714,0.0385
300,300-1,1,0,0,0,0,0,0,0,0,0,0,0,195,60,91,36,2,22,104,54,26,63.49642857,0.676785714,0.007685714,0.08575
304,304-1,1,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,0,0,0,0,0,63.49642857,0.676785714,0.007685714,0.051
305,305-1,1,0,0,0,0,0,1,0,1,1,1,0,65,14,20,15,1,10,33,23,1,63.49642857,0.676785714,0.007685714,0.04225
306,306-1,1,0,0,0,0,0,0,0,0,0,0,0,16,0,0,6,0,7,3,1,1,63.49642857,0.676785714,0.007685714,0.0355
307,307-1,1,0,0,0,0,2,0,0,2,1,2,0,68,19,28,11,0,5,43,37,1,63.49642857,0.676785714,0.007685714,0.030333333
308,308-1,1,0,0,0,0,0,0,0,0,0,0,0,86,12,15,21,1,18,43,22,7,63.49642857,0.676785714,0.007685714,0.1675
310,310-1,1,0,0,0,0,0,0,0,0,0,0,0,48,15,21,6,1,20,15,10,1,63.49642857,0.676785714,0.007685714,0.033
311,311-1,1,0,0,0,0,0,1,0,1,1,1,0,8,1,1,1,0,1,6,6,0,63.49642857,0.676785714,0.007685714,0.025
312,312-1,1,0,0,0,1,0,0,0,1,1,1,0,7,2,2,1,0,2,4,3,2,63.49642857,0.676785714,0.007685714,0.096
313,313-1,1,0,0,0,0,0,0,0,0,0,0,0,396,70,96,70,10,67,223,105,44,63.49642857,0.676785714,0.007685714,0.0706
314,314-1,1,0,0,1,0,0,0,0,1,1,1,0,41,10,10,7,0,5,29,16,3,63.49642857,0.676785714,0.007685714,0.136666667
317,317-1,1,0,0,1,0,0,0,0,1,1,1,0,120,25,35,22,0,23,65,33,10,63.49642857,0.676785714,0.007685714,0.029
318,318-1,1,0,0,0,0,1,0,0,1,1,1,0,33,5,2,8,0,8,20,17,6,63.49642857,0.676785714,0.007685714,0.091
319,319-1,1,0,0,0,1,0,1,0,2,1,2,0,0,0,0,0,0,0,0,0,0,63.49642857,0.676785714,0.007685714,0.034
320,320-1,1,0,0,0,0,0,0,0,0,0,0,0,48,13,15,17,0,9,20,16,3,63.49642857,0.676785714,0.007685714,0.1845
321,321-1,1,0,0,0,0,0,0,0,0,0,0,0,12,1,1,4,0,2,6,2,1,63.49642857,0.676785714,0.007685714,0.061
322,322-1,1,0,0,0,0,0,0,0,0,0,0,0,24,13,15,8,0,6,8,7,0,63.49642857,0.676785714,0.007685714,0.035
323,323-1,1,0,0,0,0,0,0,0,0,0,0,0,17,1,1,1,0,6,10,7,0,63.49642857,0.676785714,0.007685714,0.0375
